"target_name" "canonical_smiles" "ecfp" "measurement_value" "new_measurement_value" "measurement_type" "ligand_eff"
"Cyclin-dependent kinase 2" "CC(C)CC(=O)c1ccc2NC(=O)\C(=C/Nc3ccc(cc3)S(=O)(=O)N)\c2c1" "0000000000010000000100000100000000000000000000001000000000000000000000000000000000000000000001000000000000000100000000000000000000000101000000000100000010000000000000000101000000000000000000001000000000000010000000000000000000000000000100000000100000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000100000000000000000000000000000001000000000000000010000100000000000000010000000000000000000100000000000000000000000000000000000101000000100100010000000000101001000110000010001000101000000000000000001010000010000100000000000000000010010000000000000000000000000000000000000000000000001100000000000000000010000000100010010000000000000000000000000001000001000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000100001000000000000000000100010000000000000000100000001001000000000000000000001000000001010000000100010000000000000000000000000000000000000000000000000010000000000000000000100000000000000000000000010000000000000000000000000000000" "1.900000000000000000000000000000" "1.900000000000000000000000000000" "IC50" "0.43"
"Cyclin-dependent kinase 2" "C\C(=C/1\C(=O)Nc2ccc(cc12)c3ocnc3)\Nc4ccc(cc4)S(=O)(=O)N" "0000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000001000100000001000000000010000000000101001000000100000000000000000000000001000000000100000010000000000000000000000000000000001000000010000100000000100000000000000000000000000000001100000000000000000000000000000000000000100000000000000000100000001000000000000000000000000000000000000000000010000000100000000010100100000000000000000000000000000000000001000000000000100000000010000000101000000000100000000000000101000000110000010000000101000000100000000001000000010000000000000000000000010000100000000000000000000000000000000000000000001000000000000000000000010000100100100000000000000000000000000000000000000000000000000010000000000000000000000010000000000000000000010000000000000000000001000000000000100000000000000000000000100010001000010000000000000000000000000000000000000001000000000000000000100000000000000000000000000000000000000000010000000000010000000000000000000100000000000000001000100000000000000000000000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.42"
"Cyclin-dependent kinase 2" "Oc1ccc(cc1Br)c2ccc3c(NC(=O)C4CC4)n[nH]c3n2" "0000000000000011000100000010000010000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000100001100000000000000000000000000000000000000000001000000000100000000000000000000000000000000000001000000000000100000100000001000000000001000001000000100000000000000010000000000000000000000000000000000000000101000000000100000100000000001000000000000010000010000000000000000000010000010000000000000000100000010000000000000000000000000000000000000000010000000000000000001000000000001000000110000100000000000000000000000000001000000000001000000000000000000000000000000000000000000000000001000000000000101000000000001000000000000010000000100000000000001000000000000000000000000000000000000000000000000001000000000100000000000000000000000000000000001000000000000000010000100000000000000000000000000000000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000110000000000000000000000000000011100000000000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.52"
"Cyclin-dependent kinase 2" "Oc1ccc(cc1Cl)c2ccc3c(NC(=O)C4CC4)n[nH]c3n2" "0000000000000011000100000010000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000100000100000000000000000000000000000000000000000001000000000100000000000000000000010000000000000001000000000000000000100000001000000000001000000000000100000000000000010000000000000000000000000000000000000000101000000000100000100000000001000000000000010000000000000000000000000010000010000000000000000000000010000000000000000000000000000000000000000010000000000000000001000000000001000000110000000000000000000000000000000001000000000000000000000000000000010000000000000000000000000000001000000000000101000100000001000000000000010000000100000100000001100000000000000000100000000000000000000000000000001000000000100000000010000000000000000000000001000000000000000000000100000000000000000000000000100000000100000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000110000000000000000000000000000011100010000000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.52"
"Cyclin-dependent kinase 2" "CN(C)S(=O)(=O)c1ccc(Nc2cc(N[C@@H]3CC[C@@H](N)CC3)nc4c(Br)cnn24)cc1Cl" "0000000000010010000000000000000000000000000000000000000100000000001000000000000000001000100000000100000000010000000000000000000000000101000000010100000000000000000000000000000000010000000000100000000000000000000000000000000000000000000100000100000000101000100000100000000000000100000000000000000000000000000000000000000010000000000000000000000100000000000000000000000000000100000000100000000000000000000010000000000000000000000001101000000000000100000000000000000000000000000000001000000000000000001000000001000010110000000100000100001000000000000001010000000000000000000000000000010000000000000000000000000000100010100001000000000000000100000000000000100000000000000001000000000000000010000000001000000000000000000000000000000000101010000000000011000000000010000000000001000000000000000010000000000000000001000000000000000110100100010000000000000000100000010000000000000010000000000000000000000000010000000000000000000000010000000000000000000000010000100000000000000101000000000000000000000000010000010100000000010000010000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.37"
"Cyclin-dependent kinase 2" "Nc1nc(Nc2ccc(cc2)S(=O)(=O)N)nn1C(=O)c3c(F)cccc3F" "0000000010000000000100000000000000100000000000000000000000000000000000000000000000000000000000001000100000000100000000000000000000000101000000000100101000000100000001000001000000000000000000010000000010000000010000010000000000000000000100100000000000100000000000100000001000000000000000000000000000000000000001000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000100000000000101000001000000000000000000001000000010000000100000101000000000000000001000000010000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000001000000000000000010000000000000000001100000000000010000000000000001000000000000000000000000000000000000000000000000000001000000000000001000000001000000000000000000110000000000000000010000000000001000000000000000001000000000000100000110000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000000000000000000000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.44"
"Cyclin-dependent kinase 2" "N#Cc1ccc(Nc2nccc(n2)c3cnn4ncccc34)cc1" "0000000000000010000000000000010000010000000000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000111000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000100000000000000000100000000000000000000000000000000010000000000000010000000000000010000000100000001110000000000100000000000000001000100000000100100000000000000000010100000100001110000000000000100001000000000000000000000000100001000010100000000000000000000001001001000001001000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000100000001000000100000000000000000000010000000010000000000000000000000000000100100001000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000010000000000000000000000000000000100100000000000000000000010000000000000010000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.50"
"Cyclin-dependent kinase 2" "N#Cc1cccc(Nc2nccc(n2)c3cnn4ncccc34)c1" "0000000000010010000000000001010000000000001000000000000000000000000000000000000000010000000000010000000000000000000000000000000000000100000000000000000000000100000000001000000000000000000000000000000000000000000000000000000000000000000000001000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000100000000000000000000000100000000010000000000000000000000010000000000000010000010000000010000000100100001110000000000100000000000000000000101000000100000000000000000000110100000100001110000000000000100001000000000000000000000000100001000010100000000000000000000001001001000001001000000000000000000000100000000000000000000000000000000000000000000000001000000000000000000000000100000011100000100000000000000001000010000000010000000000001000000000000000100100001000000000000000000100000000001000000000000000000000000000000100000000000000000000000000000000000000000010000001000000000000000000010001000000000000000000000000000100000000000000000000000010000000000000010000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.50"
"Cyclin-dependent kinase 2" "C[C@H](C(=O)Nc1cc([nH]n1)C2CC2)c3ccc(cc3)N4Cc5ccccc5C4=O" "1000000000010010000100000000000000000000000000100000000000000000000000000000100000000000100000010000000000000000000000000000000000000101000000000000000000000100000000000000000000010000000000000000000000000010000000000000100000000000000010000000100000000000000000100000000100100100000000000000000000000000000010000001000000000000000000000000000000000100000000100000000000000000000000000000000000100000000010000000000000000000000000000000001000000000000000000000000000000000000000100000001000000000010000010001000010011000000100001000000000000000000001000000000000010000000000000000000000000000000001000010000000100000001000000001000000000001000000100000010000000100000000000000000000100100000000000000000000000000110100000100001011000000000000000000000000000000000000000001000000000000000000000110000001000000000000000000000000000000000100000000000000000000000000000000000000010000000000000000000000000000000000000001100000000000000000000000000010010000000000000000000100001000000000000000101000010000000000000000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.41"
"Cyclin-dependent kinase 2" "C[C@H](C(=O)Nc1cc([nH]n1)C2CC2)c3ccc(cc3)N4CCNC4=O" "0000000000010010000100000000000000000000000000100000000000000000000000000000100001000000100001000000000000000000000000000000000000000101000000000000000000000000000000000000001000010000000000000100000000000010000000000000100001000000100000000000100000000000000000100000000000100100000000000000000000000000000000010001000000000000000000000000000000000100000000000000000000000000000000000000000000100000000010000000000000000000000000000000100000000000000000000000000000000000000000100000000000000000000000010001000010011000000100001000000000000000000001000000000000010000000000000000000000000000000001000000000000100000001000000001000000000000000000100000000000000100000000000000000000000100000000000000000000000000100000000000001011000000000000000000000000000000000000000001000000000010000000000100000001000100000000000000000000000000000100000000000000000000000000000000000100000000000000000000000000000000000000000001100000000000000000000000000010010000000000000000000100000000000000000000100000010000000000000000000000000000" "2.000000000000000000000000000000" "2.000000000000000000000000000000" "IC50" "0.48"
